"","ctl-treatA_MaxVal","ctl-treatB_MaxVal","treatA-treatB_MaxVal","ctl-treatA_MaxTime","ctl-treatB_MaxTime","treatA-treatB_MaxTime"
"PF3D7_0108700",0.301796118815608,0.252341820962781,0.095414721358381,"ring","ring","ring-ring"
"PF3D7_0108800",-0.253532134538182,-0.182349718217722,0.240201682904648,"ring","ring","ring"
"PF3D7_0108900",-0.775427022706619,0.586035931734209,1.22988465382678,"ring","ring-ring","ring"
"PF3D7_0109000",-0.946852436357935,0.516390475302577,1.43908927811974,"ring","ring","ring"
"PF3D7_0109100",-0.893675508840693,0.47290397196206,1.11170846834806,"ring","ring-ring","ring"
"PF3D7_0109200",-0.383671576537792,0.286496739925632,0.54386785814874,"ring","ring","ring"
"PF3D7_0109300",-0.832998627671867,1.31043971906633,2.02748618983265,"ring","ring","ring"
"PF3D7_0109400",-0.194891173109631,0.451072710857059,0.351613139578273,"ring-ring","ring","ring"
"PF3D7_0109500",0.619162041056613,0.382301586513542,0.452312444293379,"ring-ring","ring-ring","ring"
"PF3D7_0109600",-0.162910606082404,-0.771333511137394,-0.60842290505499,"ring","ring","ring"
"PF3D7_0109700",0.664386381315051,0.186964732908591,-0.560508869665783,"ring","ring","ring"
"PF3D7_0109800",0.167147227007059,0.246526574284127,-0.357290131505271,"ring","ring","ring"
"PF3D7_0109850",-1.13071741870818,0.187691442091841,1.31840886080002,"ring","ring","ring"
"PF3D7_0110000",0.31133224108277,0.268417412315351,0.0851738031709268,"ring","ring","ring-ring"
"PF3D7_0110100",0.732888422310652,0.395829913749394,-0.337058508561258,"ring","ring","ring"
"PF3D7_0110200",-0.159704079562641,0.3124751639958,0.353563995375605,"ring","ring","ring"
"PF3D7_0110400",-0.30228931092895,-0.232990838154737,0.322061625462729,"ring","ring","ring"
"PF3D7_0110500",-0.371430241652702,-0.508171111933618,-0.373137484689463,"ring","ring","ring"
"PF3D7_0110600",-0.134245561131449,-0.222506550216403,-0.224123081614804,"ring-ring","ring","ring"
"PF3D7_0110700",0.587226076877024,0.45778696267564,-0.325888463474489,"ring","ring","ring"
"PF3D7_0110800",0.374412837189021,0.36004513959396,-0.0840145852575195,"ring","ring","ring"
"PF3D7_0110900",-0.378037992668028,-0.208179505878966,0.562337465316636,"ring","ring-ring","ring"
"PF3D7_0111000",-0.228159825749654,-0.192404363992103,0.200068189679141,"ring","ring","ring"
"PF3D7_0111200",-0.812262887232005,-0.152265350459241,0.917676021019167,"ring","ring-ring","ring"
"PF3D7_0111300",0.266607431147429,-0.432039166255084,-0.638097290237136,"ring","ring","ring"
"PF3D7_0111400",0.2939795757803,0.301916506132653,-0.211423608604793,"ring-ring","ring","ring-ring"
"PF3D7_0111500",-0.165098121612204,0.114890866789455,0.243395341916841,"ring","ring","ring"
"PF3D7_0111600",0.673448117994696,0.447474552288442,-0.225973565706254,"ring","ring","ring"
"PF3D7_0111700",0.584962167954418,0.407979687356252,-0.176982480598166,"ring","ring","ring"
"PF3D7_0111800",0.566718594001507,0.233165743688335,-0.333552850313171,"ring","ring","ring"
"PF3D7_0111900",-0.505774351470826,-0.412957956427565,0.255785573764445,"ring","ring","ring"
"PF3D7_0112000",0.336641047290312,0.376566178400902,0.160894885591836,"ring","ring","ring"
"PF3D7_0112100",-0.303421034183533,0.683442173712418,0.405452641537189,"ring","ring","ring"
"PF3D7_0112200",0.444310646557152,0.34711188431036,-0.0971987622467922,"ring","ring","ring"
"PF3D7_0112400",-0.465284260426289,0.904727119659343,1.17612164828645,"ring","ring","ring"
"PF3D7_0112600",-1.03749422694906,0.589674300755665,1.0657295276886,"ring","ring","ring"
"PF3D7_0112700",-1.03092723296995,0.571677771929801,0.949764791978296,"ring","ring-ring","ring"
"PF3D7_0112800",-0.486152684417671,-0.269080034355325,0.31462366953348,"ring","ring","ring"
"PF3D7_0112900",-1.4145758884368,-2.26474708679278,-1.17537031273224,"ring","ring","ring"
"PF3D7_0113000",-1.10216658546977,-2.04249756526647,-1.05952976476809,"ring","ring","ring"
"PF3D7_0113100",-0.197944870623871,-0.257634521997777,-0.242025574994485,"ring","ring-ring","ring-ring"
"PF3D7_0113200",-0.36440949908596,-0.523944122633796,-0.634617946043181,"ring","ring","ring"
"PF3D7_0113300",0.52096908891396,0.155160634177351,-0.36580845473661,"ring","ring","ring"
"PF3D7_0113400",0.431336856572078,-0.405028477937663,-0.750559218758747,"ring","ring","ring"
"PF3D7_0113600",-0.0261994712538519,-0.293714383017628,-0.267514911763776,"ring","ring","ring"
"PF3D7_0113700",-0.161880347916686,-0.25606119793129,-0.196952338040151,"ring-ring","ring","ring"
"PF3D7_0113800",-0.217978190150662,0.201605916912774,0.106996977077913,"ring","ring","ring-ring"
"PF3D7_0113900",-0.389731363684211,0.134241297514058,0.447906630311692,"ring","ring","ring"
"PF3D7_0114000",-0.679150394587325,-0.41468050631756,0.292891071924796,"ring","ring","ring"
"PF3D7_0114100",-0.90397769340277,-0.627907363645185,0.387037450273544,"ring","ring-ring","ring"
"PF3D7_0114200",0.463513371218627,0.788588598373648,0.908186221310543,"ring","ring","ring-ring"
"PF3D7_0114300",-0.57598330026269,-0.211944856639729,0.412056344748031,"ring","ring","ring"
"PF3D7_0114400",0.611706038700521,0.154411022074232,-0.458958162184575,"ring","ring","ring"
"PF3D7_0114500",0.559120113272921,0.630669716016801,-0.406242602011214,"ring","ring","ring"
"PF3D7_0114600",0.339883903341736,-0.631812513477567,-0.607448784767035,"ring","ring-ring","ring"
"PF3D7_0114700",-1.00998365663537,-0.421119404638765,0.58886425199661,"ring","ring","ring"
"PF3D7_0114800",0.894494815122939,0.581694864690046,-0.436720976663815,"ring","ring","ring-ring"
"PF3D7_0114900",0.447172958045771,0.623186915041021,0.747759700733925,"ring-ring","ring","ring"
"PF3D7_0115000",-1.45986941104889,-0.244492901915534,1.21640275337667,"ring","ring","ring"
"PF3D7_0115200",-0.65009356001584,-0.631489488261389,0.646239769079698,"ring","ring","ring"
"PF3D7_0115300",-0.461084493594439,0.275216502074845,0.659819935284036,"ring","ring","ring"
"PF3D7_0115400",-0.398606453522163,-1.08629747140456,-0.858197205126589,"ring","ring","ring-ring"
"PF3D7_0115500",NA,NA,NA,NA,NA,NA
"PF3D7_0115600",0.166171294698928,0.40923144363833,0.322359238439884,"ring-ring","ring","ring"
"PF3D7_0115700",-0.425350085620043,-0.268191562606406,0.265090708708321,"ring","ring","ring"
"PF3D7_0200100",-0.188274094925745,-0.161293222971283,-0.09260239058839,"ring-ring","ring","ring"
"PF3D7_0200200",-1.22422696736835,-0.714239807163879,0.681229356338284,"ring","ring","ring"
"PF3D7_0200300",-0.913772578300168,-0.220013778904878,0.768694672849634,"ring","ring","ring"
"PF3D7_0200400",-0.149684611654358,-0.634865092285099,-0.721165214906696,"ring","ring","ring"
"PF3D7_0200500",NA,NA,NA,NA,NA,NA
"PF3D7_0200600",0.62664152361767,0.248487214617074,-0.580709179012443,"ring","ring","ring-ring"
"PF3D7_0200700",0.734012234892647,1.34000536535731,1.22578095256706,"ring","ring","ring"
"PF3D7_0200900",-0.491110927977878,0.754606969866253,0.902316975369448,"ring","ring","ring"
"PF3D7_0201000",-0.601615431041373,-0.995644301206975,-0.524086355954893,"ring","ring","ring"
"PF3D7_0201200",0.697372182095056,-0.11908375169839,-0.794152488242553,"ring","ring-ring","ring"
"PF3D7_0201300",0.863150890531423,0.556643574953907,0.853737375706712,"ring-ring","ring","ring"
"PF3D7_0201400",0.948311177331216,1.16232510955372,-0.337356231736334,"ring-ring","ring","ring"
